도입부 | 정비사업 통합 검토 시스템 구축 및 활용 가이드 (ID: 0)
목차 | 정비사업 기획 설계의 1% 혁신 (ID: 1)
목차 | Table of Contents (ID: 2)
Part 1. 핵심 모듈 및 파이프라인 | 제1장. 데이터 수집 파이프라인 (Data Pipeline) (ID: 3)
Part 1. 핵심 모듈 및 파이프라인 | 제2장. 핵심 자동화 모듈 활용법 (Core Modules) (ID: 4)
Part 2. 시스템 렌더링 | 제3장. 원클릭 마스터 보고서 렌더링 (ID: 5)
부록 | 부록. 시스템 유지보수 및 에러 대처법 (ID: 6)
시스템 아키텍처 및 확장 | 자동화 시스템 구축 가이드북 (ID: 7)
시스템 아키텍처 및 확장 | 냉정하게 바라본 우리 시스템의 현주소 (ID: 8)
상세 교육 매뉴얼 (V1) | Table of Contents (ID: 9)
기초 지식 및 용어 해설 | AI 시스템 필수 개념 (ID: 10)
상세 교육 매뉴얼 (V1) | 제1장. 3대 핵심 AI 모델 비교 및 실무 가이드 (ID: 11)
기초 지식 및 용어 해설 | 제2장. 기초 IT 용어 5분 해설집 (Glossary) (ID: 12)
상세 교육 매뉴얼 (V1) | 제3장. 구글의 두 모델: NotebookLM과 Antigravity (ID: 13)
상세 교육 매뉴얼 (V1) | 제4장. [지식 경영] AI 에이전트 마크다운(MD) 생태계 (ID: 14)
상세 교육 매뉴얼 (V1) | 제5장. 모듈형 엔진과 동적 렌더링 엔진의 차이점 (Q&A) (ID: 15)
상세 교육 매뉴얼 (V1) | 제6장. [조직 확장] AI 워크스페이스 완벽 복제 및 인수인계 (Q&A) (ID: 16)
상세 교육 매뉴얼 (V1) | 운영 환경 및 대화 기술 (ID: 17)
시스템 아키텍처 및 확장 | 시스템 코어 아키텍처 (ID: 18)
상세 교육 매뉴얼 (V1) | 제8장. 전사 보안 규정 및 가명 처리 (ID: 19)
프롬프트 및 에러 대처 실무 | 제9장. 프롬프트 엔지니어링 'RTF 공식' (ID: 20)
프롬프트 및 에러 대처 실무 | 제10장. AI 환각(Hallucination) 방지 및 교차 검증 매뉴얼 (ID: 21)
프롬프트 및 에러 대처 실무 | 제11장. [핵심] 실전 에러 극복 '마법의 프롬프트' (ID: 22)
시스템 아키텍처 및 확장 | 자동화 시스템 실전 (ID: 23)
시스템 아키텍처 및 확장 | 제12장. 전사 시스템 거시적 아키텍처 (Macro View) (ID: 24)
시스템 아키텍처 및 확장 | 제13장. 형상 관리 및 다중 세션 동기화 (ID: 25)
시스템 아키텍처 및 확장 | 제14장. 공공 API 직결 및 무인 스케줄링 (ID: 26)
실무 자동화 가이드 (건축 특화) | 제15장. 소규모 정비(모아타운) 자동화 3대 절대 원칙 (ID: 27)
실무 자동화 가이드 (건축 특화) | 제16장. 모아타운 및 도심복합 용적률·임대 산출 체계 (ID: 28)
실무 자동화 가이드 (건축 특화) | 제17장. 공동주택 자동 배치 검증 시스템 구축 전략 및 LISP 가이드 (1/2) (ID: 29)
실무 자동화 가이드 (건축 특화) | 제17장. 공동주택 자동 배치 검증 시스템 구축 전략 및 LISP 가이드 (2/2) (ID: 30)
프로젝트 실전 튜토리얼 | 제18장. [실전 튜토리얼 1] 일일 동향 및 주간회의록 가이드 (상) (ID: 31)
프로젝트 실전 튜토리얼 | 제19장. [실전 튜토리얼 1] 일일 동향 및 주간회의록 가이드 (하) (ID: 32)
프로젝트 실전 튜토리얼 | 제20장. 통합보고서 작성 및 AI 활용 (창신10구역 사례) (ID: 33)
실무 자동화 가이드 (건축 특화) | 제21장. [관련 흐름도]>                   graph LR                     A[사용자 요청] --> B[토지/법규 DB 로드]                     B --> C{리스크 스크리닝}                                          C -->|입찰 전| D[공동주택성능평가도출]                     C -->|입지 분석| E[한양도성 PNU교차]                     C -->|용적률 분석| F[매입형 임대직선보간법 연산]                                          D --> G{리스크 방어 로직}                     E -->|100m 이내| H[앙각/경관심의 경고]                     F --> G                     H --> G                                          G --> I[전문가 검증]                     I --> J((보고서 PDF 생성))                                          style A fill:#e3f2fd,stroke:#1e88e5                     style D fill:#ffebee,stroke:#e53935                     style H fill:#fff3e0,stroke:#f57c00                     style J fill:#e8f5e9,stroke:#43a047                                    * 설명: 공사비 분쟁과 문화재 앙각 리스크를 선제적으로 찾아내어 방어하는 최첨단 통합 파이프라인입니다. (ID: 34)
프로젝트 실전 튜토리얼 | 제22장. [실전 튜토리얼] 용문동 통합보고서 마스터 가이드 (1/3) (ID: 35)
프로젝트 실전 튜토리얼 | 제23장. [관련 흐름도]>                   graph LR                     A[사용자 의뢰:DXF 구역계 입력] --> B{AI Agent 기동}                     B --> C[VWorld API 연동및 좌표계 변환]                     C --> D[구역 내 편입 지번/지목/면적공간 교차 검증]                                          D --> E[토지대장/건축물대장매핑]                     E --> F[필지별 노후도 및개별공시지가 결합]                                          F --> G[데이터 융합:지적 현황 조서 생성]                                          G -.->|Human-in-the-Loop| H[면적 오차율 1% 미만 대조및 샘플링 육안 검증]                     H --> I((토지 현황 데이터최종 확정))                                          style A fill:#e3f2fd,stroke:#1e88e5,stroke-width:2px                     style B fill:#fff3e0,stroke:#f57c00,stroke-width:2px                     style H fill:#ffebee,stroke:#e53935,stroke-width:2px,stroke-dasharray: 5 5                     style I fill:#e8f5e9,stroke:#43a047,stroke-width:2px                                    * 설명: 단순 DXF 면적이 아닌, VWorld 공간 교차(Spatial Intersection)를 통해 실제 지적공부상 면적을 추출하고, 인간 건축사가 면적 오차를 최종 승인해야 파이프라인이 넘어갑니다. (ID: 36)
프로젝트 실전 튜토리얼 | 제24장. [실전 튜토리얼] 용문동 통합보고서 마스터 가이드 (2/3) (ID: 37)
실무 자동화 가이드 (건축 특화) | 제25장. [관련 흐름도]>                   graph LR                     A((토지 현황 데이터)) --> B[국토의 계획 및 이용에관한 법률 검토]                     B --> C[지자체 도시기본계획및 조례 확인]                     C --> D[사업방식 스크리닝]                                          D -->|모아타운| E1[종상향 및 기반시설기부채납 결정]                     D -->|도심복합| E2[간선도로 연접 등특수 요건 검증]                     D -->|일반재개발| E3[노후도/호수밀도 등구역지정 요건 검토]                                          E1 --> F[친환경/지능형 인센티브15% 중첩 확인]                     E2 --> F                     E3 --> F                                          F --> G[건축/경관 심의기준선제적 반영]                     G -.->|서울시 기준| H[6호 조합 지양 및직통계단 2개소 룰 적용]                     H --> I((최종 가용 용적률 및배치 계획 확립))                                          style D fill:#ede7f6,stroke:#5e35b1,stroke-width:2px                     style H fill:#ffebee,stroke:#e53935,stroke-width:2px,stroke-dasharray: 5 5                     style I fill:#e8f5e9,stroke:#43a047,stroke-width:2px                                    * 설명: 법적 위계(상위법→지자체 조례→업무지침)를 순차적으로 스크리닝하며, 특히 서울시의 엄격한 건축심의 기준(6호 조합 지양 등)을 평면 설계 전에 선제적으로 반영합니다. (ID: 38)
프로젝트 실전 튜토리얼 | 제27장. [미래 비전] 대화형 범용 통합보고서 5단계 파이프라인 (ID: 39)
